surface,file_path,token_type,count,example_lines
component:LogMaintenanceModal,src/components/LogMaintenanceModal.tsx,hardcoded_border_radius,0,
component:LogMaintenanceModal,src/components/LogMaintenanceModal.tsx,spec030_token_usage,6,"L63: <dialog className=""modal modal-open glass-modal-backdrop"" open> | L64: <div className=""modal-box bg-stone-900 border border-amber-900/30 glass-modal-surface""> | L82: className=""input input-bordered input-sm w-full bg-stone-800 border-amber-900/40 text-amber-100 input-styled"""
component:ProtectedRoute,src/components/ProtectedRoute.tsx,tailwind_shadow_utility,0,
component:ProtectedRoute,src/components/ProtectedRoute.tsx,tailwind_rounded_utility,0,
component:ProtectedRoute,src/components/ProtectedRoute.tsx,tailwind_border_utility,0,
component:ProtectedRoute,src/components/ProtectedRoute.tsx,raw_rgba,0,
component:ProtectedRoute,src/components/ProtectedRoute.tsx,css_custom_property,0,
component:ProtectedRoute,src/components/ProtectedRoute.tsx,backdrop_filter_assignment,0,
component:ProtectedRoute,src/components/ProtectedRoute.tsx,hardcoded_box_shadow,0,
component:ProtectedRoute,src/components/ProtectedRoute.tsx,hardcoded_border_radius,0,
component:ProtectedRoute,src/components/ProtectedRoute.tsx,spec030_token_usage,0,
component:Sidebar,src/components/Sidebar.tsx,tailwind_shadow_utility,0,
component:Sidebar,src/components/Sidebar.tsx,tailwind_rounded_utility,1,L81: `flex items-center gap-3 px-3 py-2.5 rounded-lg text-sm font-medium transition-colors duration-150 ${
component:Sidebar,src/components/Sidebar.tsx,tailwind_border_utility,2,L83: ? 'bg-amber-600/20 text-amber-400 border border-amber-600/30'
component:Sidebar,src/components/Sidebar.tsx,raw_rgba,2,"L56: background: 'rgba(26, 18, 9, 0.85)', | L58: borderRight: '1px solid rgba(217, 119, 6, 0.15)',"
component:Sidebar,src/components/Sidebar.tsx,css_custom_property,0,
component:Sidebar,src/components/Sidebar.tsx,backdrop_filter_assignment,0,
component:Sidebar,src/components/Sidebar.tsx,hardcoded_box_shadow,0,
component:Sidebar,src/components/Sidebar.tsx,hardcoded_border_radius,0,
component:Sidebar,src/components/Sidebar.tsx,spec030_token_usage,0,
